time,symbol,open,high,low,close,volume,timestamp
2025-12-28 05:30:00+05:30,BTCUSD,87837.5,87930.0,87837.5,87867.0,9496,2025-12-28 05:30:00+05:30
2025-12-28 05:35:00+05:30,BTCUSD,87871.0,87895.0,87776.5,87803.0,7822,2025-12-28 05:35:00+05:30
2025-12-28 05:40:00+05:30,BTCUSD,87802.0,87834.0,87777.5,87786.0,4526,2025-12-28 05:40:00+05:30
2025-12-28 05:45:00+05:30,BTCUSD,87786.0,87797.0,87746.0,87769.0,10327,2025-12-28 05:45:00+05:30
2025-12-28 05:50:00+05:30,BTCUSD,87768.0,87797.0,87750.5,87751.5,4086,2025-12-28 05:50:00+05:30
2025-12-28 05:55:00+05:30,BTCUSD,87750.5,87772.5,87682.5,87712.0,7940,2025-12-28 05:55:00+05:30
2025-12-28 06:00:00+05:30,BTCUSD,87703.0,87779.0,87684.5,87779.0,7253,2025-12-28 06:00:00+05:30
2025-12-28 06:05:00+05:30,BTCUSD,87778.0,87866.5,87778.0,87861.0,10927,2025-12-28 06:05:00+05:30
2025-12-28 06:10:00+05:30,BTCUSD,87876.0,87876.0,87795.0,87850.0,5050,2025-12-28 06:10:00+05:30
2025-12-28 06:15:00+05:30,BTCUSD,87859.0,87914.0,87858.0,87875.5,11205,2025-12-28 06:15:00+05:30
2025-12-28 06:20:00+05:30,BTCUSD,87875.5,87889.0,87824.5,87840.0,5415,2025-12-28 06:20:00+05:30
2025-12-28 06:25:00+05:30,BTCUSD,87839.0,87840.0,87807.5,87821.0,2737,2025-12-28 06:25:00+05:30
2025-12-28 06:30:00+05:30,BTCUSD,87821.0,87920.5,87820.0,87918.0,22324,2025-12-28 06:30:00+05:30
2025-12-28 06:35:00+05:30,BTCUSD,87918.0,87918.0,87858.5,87859.5,6213,2025-12-28 06:35:00+05:30
2025-12-28 06:40:00+05:30,BTCUSD,87863.0,87880.5,87826.0,87827.0,9371,2025-12-28 06:40:00+05:30
2025-12-28 06:45:00+05:30,BTCUSD,87826.0,87826.0,87708.5,87803.5,12864,2025-12-28 06:45:00+05:30
2025-12-28 06:50:00+05:30,BTCUSD,87804.5,87818.0,87772.0,87779.0,5509,2025-12-28 06:50:00+05:30
2025-12-28 06:55:00+05:30,BTCUSD,87780.0,87788.5,87762.5,87785.0,1778,2025-12-28 06:55:00+05:30
2025-12-28 07:00:00+05:30,BTCUSD,87784.0,87795.5,87729.5,87795.5,10028,2025-12-28 07:00:00+05:30
2025-12-28 07:05:00+05:30,BTCUSD,87798.5,87836.0,87770.5,87801.5,8795,2025-12-28 07:05:00+05:30
2025-12-28 07:10:00+05:30,BTCUSD,87809.5,87841.0,87792.0,87792.0,4211,2025-12-28 07:10:00+05:30
2025-12-28 07:15:00+05:30,BTCUSD,87793.0,87793.0,87771.0,87781.0,3232,2025-12-28 07:15:00+05:30
2025-12-28 07:20:00+05:30,BTCUSD,87781.0,87786.0,87751.5,87758.0,3894,2025-12-28 07:20:00+05:30
2025-12-28 07:25:00+05:30,BTCUSD,87758.0,87759.0,87742.5,87757.5,4855,2025-12-28 07:25:00+05:30
2025-12-28 07:30:00+05:30,BTCUSD,87738.5,87739.5,87720.5,87721.0,4219,2025-12-28 07:30:00+05:30
2025-12-28 07:35:00+05:30,BTCUSD,87722.0,87749.0,87721.0,87738.0,5032,2025-12-28 07:35:00+05:30
2025-12-28 07:40:00+05:30,BTCUSD,87738.0,87771.5,87737.0,87751.5,2773,2025-12-28 07:40:00+05:30
2025-12-28 07:45:00+05:30,BTCUSD,87751.5,87779.0,87750.5,87779.0,3601,2025-12-28 07:45:00+05:30
2025-12-28 07:50:00+05:30,BTCUSD,87779.0,87788.0,87768.5,87779.5,6715,2025-12-28 07:50:00+05:30
2025-12-28 07:55:00+05:30,BTCUSD,87780.5,87791.0,87779.5,87784.0,2385,2025-12-28 07:55:00+05:30
2025-12-28 08:00:00+05:30,BTCUSD,87783.0,87856.5,87783.0,87835.0,9242,2025-12-28 08:00:00+05:30
2025-12-28 08:05:00+05:30,BTCUSD,87835.0,87835.0,87816.0,87820.5,5474,2025-12-28 08:05:00+05:30
2025-12-28 08:10:00+05:30,BTCUSD,87820.5,87820.5,87808.5,87809.5,3612,2025-12-28 08:10:00+05:30
2025-12-28 08:15:00+05:30,BTCUSD,87809.5,87820.0,87775.5,87776.5,5178,2025-12-28 08:15:00+05:30
2025-12-28 08:20:00+05:30,BTCUSD,87776.5,87792.5,87775.5,87780.0,3763,2025-12-28 08:20:00+05:30
2025-12-28 08:25:00+05:30,BTCUSD,87780.0,87793.0,87777.0,87778.0,2513,2025-12-28 08:25:00+05:30
2025-12-28 08:30:00+05:30,BTCUSD,87777.0,87778.0,87777.0,87778.0,2509,2025-12-28 08:30:00+05:30
2025-12-28 08:35:00+05:30,BTCUSD,87777.0,87817.5,87770.5,87774.5,5437,2025-12-28 08:35:00+05:30
2025-12-28 08:40:00+05:30,BTCUSD,87779.0,87779.0,87748.5,87754.5,4896,2025-12-28 08:40:00+05:30
2025-12-28 08:45:00+05:30,BTCUSD,87753.5,87785.5,87753.5,87759.0,4265,2025-12-28 08:45:00+05:30
2025-12-28 08:50:00+05:30,BTCUSD,87759.0,87775.5,87739.0,87739.5,4845,2025-12-28 08:50:00+05:30
2025-12-28 08:55:00+05:30,BTCUSD,87740.5,87740.5,87708.0,87717.0,8397,2025-12-28 08:55:00+05:30
2025-12-28 09:00:00+05:30,BTCUSD,87717.0,87755.0,87717.0,87750.0,4457,2025-12-28 09:00:00+05:30
2025-12-28 09:05:00+05:30,BTCUSD,87750.0,87751.0,87722.5,87740.0,5380,2025-12-28 09:05:00+05:30
2025-12-28 09:10:00+05:30,BTCUSD,87741.0,87741.0,87721.0,87721.0,1909,2025-12-28 09:10:00+05:30
2025-12-28 09:15:00+05:30,BTCUSD,87722.0,87732.0,87718.5,87719.5,4027,2025-12-28 09:15:00+05:30
2025-12-28 09:20:00+05:30,BTCUSD,87718.5,87732.0,87717.5,87719.0,4066,2025-12-28 09:20:00+05:30
2025-12-28 09:25:00+05:30,BTCUSD,87720.0,87720.0,87701.5,87701.5,2673,2025-12-28 09:25:00+05:30
2025-12-28 09:30:00+05:30,BTCUSD,87702.5,87751.5,87660.0,87740.5,21424,2025-12-28 09:30:00+05:30
2025-12-28 09:35:00+05:30,BTCUSD,87740.5,87747.5,87704.5,87744.0,5746,2025-12-28 09:35:00+05:30
