time,open,high,low,close,volume,timestamp
2025-11-01 00:00:00+05:30,109212.5,109224.5,109166.0,109176.5,13909.0,2025-11-01 00:00:00+05:30
2025-11-01 00:01:00+05:30,109175.5,109175.5,109052.0,109081.5,22407.0,2025-11-01 00:01:00+05:30
2025-11-01 00:02:00+05:30,109067.5,109080.5,109026.0,109047.5,10733.0,2025-11-01 00:02:00+05:30
2025-11-01 00:03:00+05:30,109048.5,109093.0,109014.0,109035.0,5200.0,2025-11-01 00:03:00+05:30
2025-11-01 00:04:00+05:30,109034.0,109034.0,108946.5,109010.5,17470.0,2025-11-01 00:04:00+05:30
2025-11-01 00:05:00+05:30,109010.5,109032.0,108953.0,109031.0,11742.0,2025-11-01 00:05:00+05:30
2025-11-01 00:06:00+05:30,109032.0,109130.0,109023.5,109115.0,10784.0,2025-11-01 00:06:00+05:30
2025-11-01 00:07:00+05:30,109115.0,109311.0,109057.0,109266.5,17988.0,2025-11-01 00:07:00+05:30
2025-11-01 00:08:00+05:30,109266.5,109301.0,109234.5,109273.5,9480.0,2025-11-01 00:08:00+05:30
2025-11-01 00:09:00+05:30,109270.5,109612.0,109260.5,109573.5,49601.0,2025-11-01 00:09:00+05:30
2025-11-01 00:10:00+05:30,109573.5,109581.0,109483.5,109543.5,14236.0,2025-11-01 00:10:00+05:30
2025-11-01 00:11:00+05:30,109545.0,109571.0,109466.5,109495.0,9473.0,2025-11-01 00:11:00+05:30
2025-11-01 00:12:00+05:30,109485.5,109547.5,109485.5,109516.0,4771.0,2025-11-01 00:12:00+05:30
2025-11-01 00:13:00+05:30,109527.0,109555.0,109436.0,109438.0,8136.0,2025-11-01 00:13:00+05:30
2025-11-01 00:14:00+05:30,109433.5,109811.0,109422.0,109715.0,36127.0,2025-11-01 00:14:00+05:30
2025-11-01 00:15:00+05:30,109736.5,109736.5,109560.5,109576.0,9963.0,2025-11-01 00:15:00+05:30
2025-11-01 00:16:00+05:30,109574.5,109602.0,109494.0,109494.0,5772.0,2025-11-01 00:16:00+05:30
2025-11-01 00:17:00+05:30,109495.0,109503.0,109394.0,109412.0,12734.0,2025-11-01 00:17:00+05:30
2025-11-01 00:18:00+05:30,109412.0,109479.5,109385.5,109385.5,5544.0,2025-11-01 00:18:00+05:30
2025-11-01 00:19:00+05:30,109385.5,109389.5,109312.0,109388.5,9736.0,2025-11-01 00:19:00+05:30
2025-11-01 00:20:00+05:30,109388.5,109389.5,109352.5,109353.0,3852.0,2025-11-01 00:20:00+05:30
2025-11-01 00:21:00+05:30,109352.0,109372.0,109314.5,109320.5,3986.0,2025-11-01 00:21:00+05:30
2025-11-01 00:22:00+05:30,109321.5,109376.5,109321.5,109366.5,2910.0,2025-11-01 00:22:00+05:30
2025-11-01 00:23:00+05:30,109366.5,109371.5,109326.0,109371.5,3464.0,2025-11-01 00:23:00+05:30
2025-11-01 00:24:00+05:30,109371.5,109425.5,109353.5,109359.0,2923.0,2025-11-01 00:24:00+05:30
2025-11-01 00:25:00+05:30,109359.0,109378.0,109356.5,109370.5,1869.0,2025-11-01 00:25:00+05:30
2025-11-01 00:26:00+05:30,109369.5,109391.5,109286.5,109314.0,7045.0,2025-11-01 00:26:00+05:30
2025-11-01 00:27:00+05:30,109314.0,109377.0,109295.0,109373.0,4114.0,2025-11-01 00:27:00+05:30
2025-11-01 00:28:00+05:30,109373.0,109435.0,109372.0,109435.0,3224.0,2025-11-01 00:28:00+05:30
2025-11-01 00:29:00+05:30,109435.0,109477.0,109425.0,109426.0,5754.0,2025-11-01 00:29:00+05:30
2025-11-01 00:30:00+05:30,109425.0,109425.0,109284.0,109293.5,4945.0,2025-11-01 00:30:00+05:30
2025-11-01 00:31:00+05:30,109292.5,109292.5,109255.5,109282.5,7236.0,2025-11-01 00:31:00+05:30
2025-11-01 00:32:00+05:30,109279.0,109279.0,109212.0,109218.0,8768.0,2025-11-01 00:32:00+05:30
2025-11-01 00:33:00+05:30,109218.0,109218.0,109087.0,109133.0,21213.0,2025-11-01 00:33:00+05:30
2025-11-01 00:34:00+05:30,109138.0,109184.5,109138.0,109183.5,5295.0,2025-11-01 00:34:00+05:30
2025-11-01 00:35:00+05:30,109183.5,109184.5,109139.5,109174.0,3598.0,2025-11-01 00:35:00+05:30
2025-11-01 00:36:00+05:30,109175.0,109205.5,109174.0,109191.0,4216.0,2025-11-01 00:36:00+05:30
2025-11-01 00:37:00+05:30,109191.0,109201.0,109150.5,109184.0,3796.0,2025-11-01 00:37:00+05:30
2025-11-01 00:38:00+05:30,109185.0,109240.0,109184.0,109232.0,2576.0,2025-11-01 00:38:00+05:30
2025-11-01 00:39:00+05:30,109232.0,109258.5,109227.5,109245.5,3364.0,2025-11-01 00:39:00+05:30
2025-11-01 00:40:00+05:30,109245.5,109257.0,109220.0,109236.0,3225.0,2025-11-01 00:40:00+05:30
2025-11-01 00:41:00+05:30,109235.0,109235.0,109195.5,109195.5,3680.0,2025-11-01 00:41:00+05:30
2025-11-01 00:42:00+05:30,109195.5,109228.5,109195.5,109227.5,2327.0,2025-11-01 00:42:00+05:30
2025-11-01 00:43:00+05:30,109228.5,109280.5,109228.5,109271.5,2087.0,2025-11-01 00:43:00+05:30
2025-11-01 00:44:00+05:30,109272.5,109339.5,109249.0,109335.5,5740.0,2025-11-01 00:44:00+05:30
2025-11-01 00:45:00+05:30,109335.0,109376.0,109328.5,109370.0,6270.0,2025-11-01 00:45:00+05:30
2025-11-01 00:46:00+05:30,109370.0,109460.0,109370.0,109427.0,9387.0,2025-11-01 00:46:00+05:30
2025-11-01 00:47:00+05:30,109425.5,109458.5,109419.0,109446.5,2995.0,2025-11-01 00:47:00+05:30
2025-11-01 00:48:00+05:30,109447.5,109499.5,109446.5,109482.0,5172.0,2025-11-01 00:48:00+05:30
2025-11-01 00:49:00+05:30,109479.0,109511.0,109462.0,109508.0,3976.0,2025-11-01 00:49:00+05:30
2025-11-01 00:50:00+05:30,109509.0,109671.5,109494.5,109660.0,17065.0,2025-11-01 00:50:00+05:30
2025-11-01 00:51:00+05:30,109658.5,109672.5,109599.5,109627.5,6621.0,2025-11-01 00:51:00+05:30
2025-11-01 00:52:00+05:30,109628.5,109665.5,109627.5,109657.0,2870.0,2025-11-01 00:52:00+05:30
2025-11-01 00:53:00+05:30,109648.5,109662.5,109629.5,109641.5,3182.0,2025-11-01 00:53:00+05:30
2025-11-01 00:54:00+05:30,109641.5,109725.0,109634.0,109697.5,6048.0,2025-11-01 00:54:00+05:30
2025-11-01 00:55:00+05:30,109691.5,109893.5,109670.5,109848.5,21112.0,2025-11-01 00:55:00+05:30
2025-11-01 00:56:00+05:30,109847.5,109875.0,109821.0,109839.0,9599.0,2025-11-01 00:56:00+05:30
2025-11-01 00:57:00+05:30,109840.0,109874.0,109839.0,109852.5,4203.0,2025-11-01 00:57:00+05:30
2025-11-01 00:58:00+05:30,109866.0,109890.0,109855.5,109876.0,4392.0,2025-11-01 00:58:00+05:30
2025-11-01 00:59:00+05:30,109877.0,109877.0,109760.5,109760.5,8616.0,2025-11-01 00:59:00+05:30
2025-11-01 01:00:00+05:30,109760.5,109852.0,109760.5,109774.5,5925.0,2025-11-01 01:00:00+05:30
2025-11-01 01:01:00+05:30,109773.5,109805.5,109761.5,109796.0,2202.0,2025-11-01 01:01:00+05:30
2025-11-01 01:02:00+05:30,109800.0,109881.5,109769.5,109868.0,6917.0,2025-11-01 01:02:00+05:30
2025-11-01 01:03:00+05:30,109872.5,110007.5,109872.0,110001.0,22136.0,2025-11-01 01:03:00+05:30
2025-11-01 01:04:00+05:30,110001.0,110180.0,110001.0,110061.5,28440.0,2025-11-01 01:04:00+05:30
2025-11-01 01:05:00+05:30,110061.5,110066.5,109942.0,109967.0,9965.0,2025-11-01 01:05:00+05:30
2025-11-01 01:06:00+05:30,109966.0,109972.0,109918.5,109918.5,3410.0,2025-11-01 01:06:00+05:30
2025-11-01 01:07:00+05:30,109918.5,109918.5,109843.5,109844.5,4739.0,2025-11-01 01:07:00+05:30
2025-11-01 01:08:00+05:30,109846.5,109892.0,109841.0,109854.0,2609.0,2025-11-01 01:08:00+05:30
2025-11-01 01:09:00+05:30,109854.0,109869.0,109828.0,109828.0,1668.0,2025-11-01 01:09:00+05:30
2025-11-01 01:10:00+05:30,109829.0,109829.0,109785.0,109787.0,4653.0,2025-11-01 01:10:00+05:30
2025-11-01 01:11:00+05:30,109792.0,109814.5,109773.5,109803.5,2490.0,2025-11-01 01:11:00+05:30
2025-11-01 01:12:00+05:30,109803.5,109884.5,109796.5,109881.0,3688.0,2025-11-01 01:12:00+05:30
2025-11-01 01:13:00+05:30,109898.0,109946.0,109888.5,109913.0,6902.0,2025-11-01 01:13:00+05:30
2025-11-01 01:14:00+05:30,109913.0,109947.5,109911.5,109921.5,4641.0,2025-11-01 01:14:00+05:30
2025-11-01 01:15:00+05:30,109919.0,109983.0,109884.0,109926.5,4683.0,2025-11-01 01:15:00+05:30
2025-11-01 01:16:00+05:30,109933.0,110240.5,109933.0,110221.5,13433.0,2025-11-01 01:16:00+05:30
2025-11-01 01:17:00+05:30,110221.5,110222.5,110130.5,110173.0,10046.0,2025-11-01 01:17:00+05:30
