timestamp,open,high,low,close,volume,stochk_9_3,stochk_14_3,stochk_40_3,stochk_60_3,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,day,time,breakout,sl,entry,maxrr,rr
2025-06-09 10:50:00+05:30,1217.1,1219.8,1217.0,1219.8,141820,18.7,56.0,80.7,80.3,0.39,1.12,1.94,0.31,1.31,2.3,64.62465490166642,0.26,2025-06-09,10:50:00,True,1217.0,1219.8,0.6,0.0
2025-08-18 11:15:00+05:30,1085.8,1086.5,1085.2,1086.0,63777,16.6,47.1,83.0,83.5,0.13,0.6,1.01,-0.01,0.82,1.25,60.8891263292706,0.18,2025-08-18,11:15:00,True,1085.2,1086.0,0.5,0.2
2025-07-09 11:00:00+05:30,2520.5,2525.0,2515.0,2523.0,83884,30.5,29.5,71.8,82.2,0.05,0.5,-0.01,-0.28,0.93,0.81,52.88525979255715,0.53,2025-07-09,11:00:00,True,2515.0,2523.0,0.3,-0.3
2025-08-07 10:45:00+05:30,2393.3,2393.7,2383.0,2389.8,98735,24.4,33.5,64.2,71.7,-0.45,-0.15,0.13,-0.45,-0.39,1.01,42.49158622401411,0.45,2025-08-07,10:45:00,True,2383.0,2389.8,1.6,-0.1
2025-08-13 11:00:00+05:30,2454.8,2459.8,2452.9,2456.5,33528,35.8,64.1,87.2,85.9,0.6,1.56,2.14,0.39,2.07,2.69,66.69314006774937,0.38,2025-08-13,11:00:00,True,2452.9,2456.5,4.9,4.9
2025-05-23 10:35:00+05:30,8765.0,8793.5,8765.0,8791.0,3246,18.5,48.0,70.9,81.3,0.21,0.75,1.17,0.15,0.88,1.6,59.03528756025276,0.3,2025-05-23,10:35:00,True,8765.0,8791.0,0.5,-0.7
2025-07-03 11:05:00+05:30,8418.5,8424.0,8415.5,8423.0,392,35.3,45.4,82.2,82.9,0.16,0.34,0.3,0.12,0.56,0.35,61.72371600097512,0.16,2025-07-03,11:05:00,True,8415.5,8423.0,0.0,-0.2
2025-08-18 10:40:00+05:30,8565.0,8579.0,8560.0,8564.5,5331,25.7,25.9,84.5,84.5,0.6,1.84,2.66,0.43,2.45,3.21,68.10846874300728,0.34,2025-08-18,10:40:00,True,8560.0,8564.5,0.2,0.2
2025-08-18 11:10:00+05:30,911.0,913.2,911.0,912.55,92656,13.2,13.1,86.7,87.0,0.56,2.22,3.6,-0.13,3.08,4.37,70.02490463103602,0.35,2025-08-18,11:10:00,True,911.0,912.55,0.7,-0.2
2025-08-18 10:45:00+05:30,2007.0,2008.7,2005.2,2006.9,14692,25.3,50.5,88.9,88.6,0.64,1.87,2.82,0.48,2.42,3.26,72.34936175560036,0.32,2025-08-18,10:45:00,True,2005.2,2006.9,0.2,-0.1
2025-07-14 11:15:00+05:30,13848.0,13937.0,13835.0,13937.0,1981,44.7,43.6,85.6,81.8,0.56,0.77,0.86,0.45,0.94,0.91,67.14265326850767,0.26,2025-07-14,11:15:00,True,13835.0,13937.0,2.8,2.6
2025-08-18 11:05:00+05:30,14584.0,14675.0,14584.0,14650.0,979,35.1,48.8,87.2,83.5,0.81,1.96,2.99,0.49,2.45,3.47,66.89348243127218,0.43,2025-08-18,11:05:00,True,14584.0,14650.0,1.2,-0.1
2025-08-08 10:30:00+05:30,167.6,167.85,167.41,167.79,48148,18.2,43.8,81.6,80.8,0.27,1.01,1.44,0.11,1.48,1.84,60.71135973696443,0.33,2025-08-08,10:30:00,True,167.41,167.79,0.4,-0.4
2025-06-02 10:30:00+05:30,254.42,254.94,254.41,254.64,177451,36.3,58.2,80.0,83.8,0.52,1.49,2.53,0.54,1.67,3.03,65.3012667064108,0.35,2025-06-02,10:30:00,True,254.41,254.64,1.3,-0.1
2025-06-24 10:35:00+05:30,239.41,239.7,239.4,239.4,43060,31.4,54.8,82.2,80.6,0.49,1.12,1.6,0.54,1.36,1.87,67.471698709041,0.29,2025-06-24,10:35:00,True,239.4,239.4,1.8,0.2
2025-06-30 11:05:00+05:30,247.35,248.0,247.24,247.8,220930,27.3,46.3,81.5,81.2,0.39,1.06,1.73,0.19,1.43,1.7,63.79171494817364,0.32,2025-06-30,11:05:00,True,247.24,247.8,1.8,1.3
